nama	homograf_kbbi
Marinatama Gemanusa Shipyard	tidak
Marindo Jaya Samudera	tidak
Marine Bahagia Shipyard	tidak
Mark Dynamics Indonesia	tidak
Marketing Hackers	tidak
Marlip Indo Mandiri	tidak
Martina Berto	tidak
Marvia vehicles	tidak
Mas Murni Indonesia	tidak
Maskapai Reasuransi Indonesia	tidak
Maspion	tidak
Matahari	ya
Matahari Department Store	tidak
Matahari Putra Prima	tidak
Max Pictures	tidak
Maxima Pictures	tidak
Mayapada Group	tidak
Maybank Asset Management	tidak
Maybank Indonesia Finance	tidak
Maybank Sekuritas Indonesia	tidak
Mayora Indah	tidak
Mazda Motor Indonesia	tidak
MD Corporation	tidak
MD Entertainment	tidak
MD Pictures	tidak
MDTV	tidak
MDTV Media Technologies	tidak
Medco Power Indonesia	tidak
MedcoEnergi	tidak
Media Inti Teknologi	tidak
Media Network Indonesia	tidak
Media Nusantara Citra	tidak
Medikaloka Hermina	tidak
Mega Buana Resources	tidak
Mega Capital Investama	tidak
Mega Kreasi Films	tidak
Mega Manunggal Property	tidak
Mega Perintis	tidak
Megalestari Epack Sentosaraya	tidak
Megapolitan Developments	tidak
Megapower Makmur	tidak
Megindo Tunggal Sejahtera	tidak
Mekar	ya
Mekari	tidak
Menn Teknologi Indonesia	tidak
Menteng Heritage Realty	tidak
Menthobi Karyatama Raya	tidak
Mercedes-Benz Distribution Indonesia	tidak
Merck	tidak
Merdeka Battery Materials	tidak
Merdeka Copper Gold	tidak
Merlot Grup Indonesia	tidak
Merpati Marine	tidak
Meta Epsi	tidak
Metro Department Store	tidak
Metro Healthcare Indonesia	tidak
Metro Realty	tidak
Metrodata Electronics	tidak
Metropolitan Kentjana	tidak
Metropolitan Land	tidak
Midplaza Holding	tidak
Miles Films	tidak
Millenium Pharmacon Int.	tidak
MIND ID	tidak
Mineral Bumi Nusantara	tidak
Minna Padi Investama Sekuritas	tidak
Miru Production	tidak
MITO Electronic	tidak
Mito Mobile	tidak
Mitra Adiperkasa	tidak
Mitra Angkasa Sejahtera	tidak
Mitra Energi Persada	tidak
Mitra Hub Indonesia	tidak
Mitra Investindo	tidak
Mitra Keluarga Karyasehat	tidak
Mitra Komunikasi Nusantara	tidak
Mitra Pack	tidak
Mitra Pemuda	tidak
Mitra Pinasthika Mustika	tidak
Mitra Rajasa	tidak
Mitra Tirta Buwana	tidak
Mitrabahtera Segara Sejati	tidak
Mitrabara Adiperdana	tidak
Mizzle	tidak
MNC Corporation	tidak
MNC Digital Entertainment	tidak
MNC Energy Investments	tidak
MNC Kapital Indonesia	tidak
MNC Land	tidak
MNC Pictures	tidak
MNC Sky Vision	tidak
MNC Vision	tidak
MNC Vision Networks	tidak
Mobil Indostation	tidak
Mobil Tawon	tidak
Modena Group	tidak
Modern Internasional	tidak
Modernland Realty Ltd	tidak
Monolit Labs	tidak
Mora Telematika Indonesia	tidak
Morenzo Abadi Perkasa	tidak
Morodadi Prima	tidak
Movieglad Pictures	tidak
MPX Logistics International	tidak
MRA Group	tidak
Muji Rahayu Shipyard	tidak
Mulia Boga Raya	tidak
Mulia Industrindo	tidak
Multi Agro Gemilang Plantation	tidak
Multi Bintang Indonesia	tidak
Multi Indocitra	tidak
Multi Makmur Lemindo	tidak
Multi Medika Internasional	tidak
Multi Ocean Shipyard	tidak
Multi Prima Sejahtera	tidak
Multifiling Mitra Indonesia	tidak
Multimedia Nusantara	tidak
Multipolar	ya
Multipolar Technology	tidak
Multistrada Arah Sarana	tidak
Murni Sadar	tidak
Musica Studio's	tidak
Musim Mas	tidak
Mustika Ratu	tidak
Mutiara Fibrindo	tidak
MyRepublic Indonesia	tidak
Nagaswara	tidak
Namasindo Plas	tidak
Nanotech Indonesia Global	tidak
Narada Asset Management	tidak
Nash & Co.	tidak
Natura City Developments	tidak
NATURAL NUSANTARA	tidak
Nederlandsch-Indische Escompto Maatschappij	tidak
Net 1	tidak
New Armada	tidak
Nex Parabola	tidak
Nexian	tidak
NFC Indonesia	tidak
NH Korindo Sekuritas Indonesia	tidak
NIHI Sumba	tidak
Nikko Sekuritas Indonesia	tidak
Nindya Karya	tidak
Nippon Indosari Corpindo	tidak
Nipress	tidak
Nissan Motor Indonesia	tidak
Noahtu Shipyard	tidak
Nongsa Jaya Buana	tidak
North Sea Boats	tidak
Northcliff Citranusa Indonesia	tidak
Nusa Konstruksi Enjiniring	tidak
Nusa Palapa Gemilang	tidak
Nusa Raya Cipta	tidak
Nusadana Investama Indonesia	tidak
Nusantara Almazia	tidak
Nusantara Infrastructure	tidak
Nusantara Inti Corpora	tidak
Nusantara Pelabuhan Handal	tidak
Nusantara Properti Internasional	tidak
Nusantara Sawit Sejahtera	tidak
Nusantara TV	tidak
Nusatama Berkah	tidak
Nutrifood	tidak
NutriSari	tidak
Nyonya Meneer	tidak
OBM Drilchem	tidak
OKI Pulp & Paper Mills	tidak
Onix Capital	tidak
Opaper	tidak
OPay	tidak
OpenTrolley Bookstore, Indonesia	tidak
Optik Melawai	tidak
Optima Prima Metal Sinergi	tidak
Orang Tua (perusahaan)	tidak
Orela Shipyard	tidak
Organon Pharma Indonesia	tidak
Oscar Mitra Sukses Sejahtera	tidak
Oto Multiartha	tidak
Otsuka (Indonesia)	tidak
OVO	tidak
Pabrik Gula Maribaya	tidak
Pabrik Gula Rajawali I	tidak
Pabrik Kertas Indonesia	tidak
Pacific Capital Investment	tidak
Pacific Energy Indonesia	tidak
Pacific Strategic Financial	tidak
Pahala Harapan Lestari	tidak
Pakuan	tidak
Pakuwon Jati	tidak
PAL Indonesia	tidak
Palie & Co	tidak
Palindo Marine	tidak
Palma Serasih	tidak
Palma Shipyard	tidak
PAM Mineral	tidak
Pan Brothers Tex	tidak
Panasia Filament	tidak
Panasia Indo Resources	tidak
Panca Anugrah Wisesa	tidak
Panca Budi Idaman	tidak
Panca Ekawira Sanjaya	tidak
Panca Global Kapital	tidak
Panca Mitra Multiperdana	tidak
Pancaran Samudera Shipyard	tidak
Pandawa Institute	tidak
Pangaea Digital Labs	tidak
Panin Asset Management	tidak
Panin Bank	tidak
Panin Financial	tidak
Panin Sekuritas	tidak
Paninvest	tidak
Panorama Sentrawisata	tidak
Pantai Indah Kapuk Dua	tidak
Paragon Technology and Innovation	tidak
Paramita Bangun Sarana	tidak
Pasifik Dok Maluku	tidak
Pasifik Satelit Nusantara	tidak
Patria Maritim Perkasa	tidak
PATRION	tidak
Paxocean Nanindah Mutiara Shipyard	tidak
Pegadaian	ya
Pelabuhan Indonesia	tidak
Pelabuhan Indonesia I	tidak
Pelabuhan Indonesia II	tidak
Pelabuhan Indonesia III	tidak
Pelabuhan Indonesia IV	tidak
Pelangi Indah Canindo	tidak
Pelat Timah Nusantara	tidak
Pelayaran Nasional Bina Buana Raya	tidak
Pelayaran Nasional Ekalya Purnamasari	tidak
Pelayaran Nelly Dwi Putri	tidak
Pelayaran Tamarin Samudra	tidak
Pelita Samudera Shipping	tidak
Pelita Teknologi Global	tidak
Pembangunan Graha Lestari	tidak
Pembangunan Jaya Ancol	tidak
Penerbit Erlangga	tidak
Penerbit Jurnal Indonesia	tidak
Penerbit Paramita	tidak
Penta Valent	tidak
Perdana Bangun Pusaka	tidak
Perdana Gapura Prima	tidak
Perdana Karya Perkasa	tidak
Perintis Triniti Properti	tidak
Periplus	tidak
Perkasa Internusa Mandiri	tidak
Perkebunan Nusantara II	tidak
Perkebunan Nusantara III	tidak
Perkebunan Nusantara IX	tidak
Perkebunan Nusantara VI	tidak
Perkebunan Nusantara VII	tidak
Perkebunan Nusantara VIII	tidak
Perkebunan Nusantara XII	tidak
Perma Plasindo	tidak
PermataBank	tidak
Permodalan Nasional Madani	tidak
Personel Alih Daya	tidak
Pertama Pacific Shipyard	tidak
Pertamina	tidak
Pertamina Geothermal Energy	tidak
Pertamina Retail	tidak
Pertamina Trans Kontinental	tidak
Perum Perhutani	tidak
Perusahaan Daerah Air Minum Tirtanadi	tidak
Perusahaan Gas Negara	tidak
Perusahaan Listrik Negara	tidak
Perusahaan Pengelola Aset	tidak
Perusahaan Perdagangan Indonesia	tidak
Petrindo Jaya Kreasi	tidak
Petrokimia Gresik	tidak
Petrosea	tidak
Pewarisgroup	tidak
Pewaristoto	tidak
Phapros	tidak
Pharos Indonesia	tidak
Phillip Securities Indonesia, PT	tidak
Photografisch Atelier Kurkdjian	tidak
Pic[k]lock Films	tidak
Pikko Land Development	tidak
Pinago Utama	tidak
Pindad	tidak
Pindo Deli Pulp And Paper Mills	tidak
Pinnacle Persada Investama	tidak
Pioneerindo Gourmet International	tidak
Pizza Hut Indonesia	tidak
PKT	tidak
Planet Properindo Jaya	tidak
Plaza Indonesia Realty	tidak
PLN Icon Plus	tidak
PLN Indonesia Power	tidak
PLN Nusantara Power	tidak
Polaris Investama	tidak
Pollux Investasi Internasional	tidak
Pollux Properti Indonesia	tidak
Poly Kapitalindo	tidak
Polychem Indonesia	tidak
Polytama Propindo	tidak
Polytron	tidak
Pool Advista Finance	tidak
Pool Advista Indonesia	tidak
Pop Art: Records Label	tidak
Popbela.com (Perusahaan)	tidak
Popmama.com (Perusahaan)	tidak
Post Asset Management Indonesia	tidak
PP London Sumatera Indonesia	tidak
PP Presisi	tidak
PP Properti	tidak
Pradiksi Gunatama	tidak
Pradnya Paramita	tidak
Prasidha Aneka Niaga	tidak
Pratama Capital Assets Management	tidak
Pratama Widya	tidak
Presenta Kana Ideastika	tidak
PRIMA	ya
Prima Alloy Steel Universal	tidak
Prima Andalan Mandiri	tidak
Prima Cakrawala Abadi	tidak
Prima Globalindo Logistik	tidak
Prima Timah Utama	tidak
Primadaya Plastisindo	tidak
Primagama Tutoring Institution	tidak
Primarindo Asia Infrastructure	tidak
Principal Asset Management	tidak
Prodia StemCell Indonesia (Indonesia)	tidak
Prodia Widyahusada	tidak
Produksi Film Negara	tidak
Profesional Telekomunikasi Indonesia	tidak
Propertia	tidak
Prospera Asset Management	tidak
Protech Mitra Perkasa	tidak
Provident Agro	tidak
ProxyHat	tidak
Pudjiadi & Sons	tidak
Pudjiadi Prestige	tidak
Pulau Asli Tour	tidak
Pupuk Indonesia	tidak
Pupuk Indonesia Holding Company	tidak
Pupuk Iskandar Muda	tidak
Pupuk Kalimantan Timur	tidak
Puradelta Lestari	tidak
Puri Global Sukses	tidak
Puri Sentul Permai	tidak
Purwa Caraka Music Studio	tidak
Putera Sampoerna Foundation	tidak
Putra Mandiri Jembar	tidak
Putra Rajawali Kencana	tidak
Pyridam Farma	tidak
Qiwii	tidak
Qoala	tidak
Queenrides	tidak
Radana Bhaskara Finance	tidak
Radiant Utama Interinsco	tidak
Ragusa	tidak
Rajawali Corpora	tidak
Ramayana Lestari Sentosa	tidak
RANS Entertainment	tidak
Rasuna Epicentrum	tidak
Ratu Prabu Energi	tidak
RBTV Jogja	tidak
Reatrixweb Media	tidak
Red Planet Indonesia	tidak
Refined Bangka Tin	tidak
Reglow Indonesia	tidak
Rekso Nasional Food	tidak
Reliance Sekuritas Indonesia	tidak
Reload Corpora	tidak
Rentracks Creative Works	tidak
Repower Asia Indonesia	tidak
Resource Alam Indonesia	tidak
RHB Asset Management Indonesia	tidak
Richeese Factory	tidak
Ricky Putra Globalindo	tidak
Rig Tenders Indonesia	tidak
Rimba Makmur Utama	tidak
Rimo International Lestari	tidak
Ristia Bintang Mahkotasejati	tidak
RMK Energy	tidak
Rocket Chicken	tidak
Rockfields Properti Indonesia	tidak
Roda Bangun Mandiri	tidak
Roda Vivatex	tidak
Rohartindo Nusantara Luas	tidak
ROMANTIC Sprei	tidak
Royal Pacific Harvest	tidak
Royal Prima	tidak
Royal Prima Musikindo	tidak
Royalindo Investa Wijaya	tidak
Ruangguru	tidak
Rukun Raharja	tidak
S. Kanner & Co., Macassar	tidak
Sabana Fried Chicken	tidak
Sahid Group	tidak
Salim Group	tidak
Salim Ivomas Pratama	tidak
Samanea Jakarta Market	tidak
Samator Indo Gas	tidak
Samindo Resources	tidak
Samofis	tidak
Sampoerna Agro	tidak
Samudera Indonesia	tidak
Samudera Indoraya Perkasa	tidak
Samudera Puranabile Abadi	tidak
Samudra Marine Indonesia	tidak
Santika Indonesia Hotels & Resorts	tidak
Santos Jaya Abadi	tidak
Sanur Marindo Shipyard	tidak
Sanurhasta Mitra	tidak
Saptausaha Gemilangindah	tidak
Sarana Bahtera Shipyard	tidak
Sarana Meditama Metropolitan	tidak
Sarana Menara Nusantara	tidak
Sarana Mitra Luas	tidak
Sarana Multi Infrastruktur	tidak
Sarana Multigriya Finansial	tidak
Sarana Pembangunan Jawa Tengah	tidak
Saranacentral Bajatama	tidak
Saraswanti Anugerah Makmur	tidak
Saraswanti Indoland Development	tidak
Saraswati Griya Lestari	tidak
Saratoga Investama Sedaya	tidak
Sarga.co	tidak
Sari Kreasi Boga	tidak
Sari Roti	tidak
Sariguna Primatirta	tidak
Sarihusada Generasi Mahardhika	tidak
Sarimelati Kencana	tidak
Sarimi	tidak
Sariwangi	tidak
Sasa Inti	tidak
Sat Nusapersada	tidak
Satelindo	tidak
Satelit Nusantara Tiga	tidak
Satria Antaran Prima	tidak
Satria Dewa Studio	tidak
Satria Mega Kencana	tidak
Satu Saku Group	tidak
Satyamitra Kemas Lestari	tidak
Sawit Sumbermas Sarana	tidak
Sayaga Wisata	tidak
Schroder Investment Management Indonesia	tidak
Screenplay Bumilangit	tidak
Screenplay Films	tidak
Sebuku Iron Lateritic Ores	tidak
Segar Kumala Indonesia	tidak
Sejahtera Bintang Abadi Textile	tidak
Sejahteraraya Anugrahjaya	tidak
Sekar Bumi	tidak
Sekar Laut	tidak
Selamat Sempurna	tidak
Selaras Citra Nusantara Perkasa	tidak
Selaras Lawang Sewu	tidak
Seluma Mughnii Trinugraha	tidak
Semacom Integrated	tidak
Semen Bosowa	tidak
Semen Kupang	tidak
Semen Tonasa	tidak
Sentek Indonesia	tidak
Sentra Food Indonesia	tidak
Sentra Mega Kreasi	tidak
Sentra Surya Ekajaya	tidak
Sentral Mitra Informatika	tidak
Sentul City	tidak
Sepatu Bata	tidak
Sepeda Bersama Indonesia	tidak
Sequis Aset Manajemen	tidak
Serasi Autoraya	tidak
Shield On Service	tidak
Shinhan Asset Management Indonesia	tidak
Siantar Top	tidak
SiCepat Ekspres	tidak
Sido Muncul	tidak
Sidomulyo Selaras	tidak
Sierad Produce	tidak
SIG (Perusahaan)	tidak
Sigma Energy Compressindo	tidak
Sigmagold Inti Perkasa	tidak
Sillo Maritime Perdana	tidak
Siloam Hospitals Group	tidak
Sinar Mas Agribusiness & Food	tidak
Sinar Mas Agro Resources and Technology	tidak
Sinar Mas Group	tidak
Sinar Mas Multiartha	tidak
Sinar Mas Multifinance	tidak
Sinergi Inti Plastindo	tidak
Sinergi Megah Internusa	tidak
Sinergi Muda	tidak
Singaraja Putra	tidak
Sitara Propertindo	tidak
Siwani Makmur	tidak
Sky Energy Indonesia	tidak
Sky Parking	tidak
Skynindo	tidak
SLJ Global	tidak
Smart Telecom	tidak
Smartfren	tidak
SMR Utama	tidak
Socfin Indonesia	tidak
Soechi Lines	tidak
Soerabaia Rubberfabriek Ngagel NV	tidak
Soho Global Health	tidak
Solo Harmony Furniture	tidak
Solusi Bangun Indonesia	tidak
Solusi Kemasan Digital	tidak
Solusi Pembayaran Elektronik	tidak
Solusi Sinergi Digital	tidak
Solusi Tunas Pratama	tidak
Sona Topas Tourism Industry	tidak
Sony Music Indonesia	tidak
Sophie Paris	tidak
Soraya Intercine Films	tidak
Sorini Corporindo	tidak
SpeedUp Technology	tidak
SR12	tidak
SR12 Herbal Perkasa	tidak
Sri Rejeki Isman	tidak
Sriwahana Adityakarta	tidak
Star Energy	tidak
Star Pacific	tidak
Starvision Plus	tidak
Steadfast Marine	tidak
Steadfest Marine	tidak
Steady Safe	tidak
Steel Pipe Industry of Indonesia	tidak
Stream Entertainment	tidak
STRUGA	tidak
Studio Antelope	tidak
Studio X Production	tidak
Suba Indah	tidak
Sucorinvest Asset Management	tidak
Sugih Energy	tidak
Sukun Wartono Indonesia	tidak
Sumber Alfaria Trijaya	tidak
Sumber Energi Andalan	tidak
Sumber Global Energy	tidak
Sumber Mas Konstruksi	tidak
Sumber Tani Agung Resources	tidak
Sumberdaya Sewatama	tidak
Sumi Indo Kabel	tidak
Summarecon Agung	tidak
Summitplast	tidak
Sunindo Adipersada	tidak
Sunindo Pratama	tidak
Sunson Textile Manufacturer	tidak
Sunter Lakeside Hotel	tidak
Suparma	tidak
Super Energy	tidak
Superbank	tidak
Superkrane Mitra Utama	tidak
Supra Boga Lestari	tidak
Supreme Cable Manufacturing & Commerce	tidak
Surya Artha Nusantara Finance	tidak
Surya Biru Murni Acetylene	tidak
Surya Citra Media	tidak
Surya Citra Pictures	tidak
Surya Dharmagati	tidak
Surya Dumai Industri	tidak
Surya Esa Perkasa	tidak
Surya Fajar Capital	tidak
Surya Intrindo Makmur	tidak
Surya Pertiwi	tidak
Surya Semesta Internusa	tidak
Surya Toto Indonesia	tidak
Suryamas Dutamakmur	tidak
Suzuki Indomobil Motor	tidak
Syailendra Capital	tidak
Taman Impian Jaya Ancol	tidak
Tamaris Hidro	tidak
Tan Ek Tjoan	tidak
Tan's Film	tidak
Tanah Laut	ya
Tanah Laut (perusahaan)	tidak
Tanobel	tidak
Tapin Suthra Berjaya	tidak
TASPEN	tidak
TBS Energi Utama	tidak
Techno9 Indonesia	tidak
Tegal Shipyard Utama	tidak
Teh Pucuk Harum	tidak
Teijin Indonesia Fiber	tidak
Teknologi Karya Digital Nusa	tidak
Teknologi Pendidikan ID (Indonesia)	tidak
Teladan Prima Agro	tidak
Telefast Indonesia	tidak
Telekomindo Primabhakti	tidak
Telin	tidak
Telin Singapore	tidak
Telkom Indonesia	tidak
Telkomsel	tidak
Temas	ya
Tembaga Mulia Semanan	tidak
Tempo Inti Media	tidak
Tempo Media Group	tidak
Tempo Scan	tidak
Tempo Scan Pacific	tidak
Tera Data Indonusa	tidak
Terra Infia	tidak
Terregra Asia Energy	tidak
Tesco Indomaritim	tidak
Texmaco Jaya	tidak
Thiess Contractors Indonesia	tidak
Tifa Finance	tidak
Tiga Belas 45	tidak
Tiga Pilar Sejahtera Food	tidak
Tigaraksa Satria	tidak
Tiger Sugar	tidak
Tiger Wong Entertainment	tidak
TIKI	tidak
Timah	ya
Times	tidak
Timor Putra Nasional	tidak
Tiphone Mobile Indonesia	tidak
Tira Austenite	tidak
Tirta Mahakam Resources	tidak
Tirta Marta	tidak
Tirta Mas Perkasa	tidak
Tjiwi Kimia	tidak
Toba Bara Sejahtra	tidak
Toba Pulp Lestari	tidak
Toba Sejahtra	tidak
Toba Surimi Industries	tidak
Toffin Indonesia	tidak
Toko Gunung Agung	tidak
Tokopedia	tidak
Tolak Angin	tidak
Topotels Hotels & Resorts	tidak
Topremit	tidak
Tossa	tidak
Total Bangun Persada	tidak
Totalindo Eka Persada	tidak
Tourindo Guide Indonesia	tidak
Tower Bersama Infrastructure	tidak
Toyota Astra Financial Service	tidak
Toyota-Astra Motor	tidak
Toys Kingdom	tidak
Trada Alam Minera	tidak
Trans Power Marine	tidak
Trans Studio	tidak
Transcoal Pacific	tidak
Transindo Jaya Komara	tidak
Transkon Jaya	tidak
Transvision	tidak
Tri Banyan Tirta	tidak
Tri Indonesia	tidak
Tri Ratna Diesel Indonesia	tidak
Trias Sentosa	tidak
Tridiantara Alvindo	tidak
Tridomain Performance Materials	tidak
Trikomsel Oke	tidak
Trimegah Asset Management	tidak
Trimegah Bangun Persada	tidak
Trimegah Karya Pratama	tidak
Trimegah Sekuritas Indonesia	tidak
Trimitra Prawara Goldland	tidak
Trimitra Propertindo	tidak
Trimuda Nuansa Citra	tidak
Trinitan Metals and Minerals	tidak
Triniti Dinamik	tidak
Trinity Optima Production	tidak
Triputra Agro Persada	tidak
Trisula International	tidak
Trisula Textile Industries	tidak
Triwira Insanlestari	tidak
Tropicana Slim	tidak
Truba Alam Manunggal Engineering	tidak
Trust Finance Indonesia	tidak
Tunas Alfin	tidak
Tunas Baru Lampung	tidak
Tunas Karya Bahari	tidak
Tunas Ridean	tidak
Ulima Nitra	tidak
Ultra Jaya Milk Industry	tidak
Ultrajaya Milk	tidak
Umbara Brothers Film	tidak
Unggul Indah Cahaya	tidak
Unggul Sejati Abadi	tidak
Uni-Charm Indonesia	tidak
Unicor Prima Motor	tidak
Unilever Indonesia	tidak
United Tractors	tidak
Universal Music Indonesia	tidak
UOB Asset Management Indonesia	tidak
Urban Jakarta Propertindo	tidak
Usaha Pembiayaan RelianceIndonesia	tidak
Usda Seroja Jaya	tidak
Utama Radar Cahaya	tidak
V-Gen	tidak
Vale Indonesia	tidak
Vastland Indonesia	tidak
Venteny Fortuna International	tidak
Verena Multi Finance	tidak
Viandra Productions	tidak
Victoria Care Indonesia	tidak
Victoria Insurance	tidak
Victoria Investama	tidak
Victoria Manajemen Investasi	tidak
Vindes Corp	tidak
Virama Karya	tidak
Virtue Dragon Nickel Industry	tidak
Visi Media Asia	tidak
Visi Telekomunikasi Infrastruktur	tidak
Visinema Pictures	tidak
Vit	tidak
VIVO	tidak
VKTR	tidak
Voksel Electric	tidak
Voltron	tidak
Voyagin	tidak
Vrent	tidak
Wahana Express	tidak
Wahana Interfood Nusantara	tidak
Wahana Inti Makmur	tidak
Wahana Inti Selaras	tidak
Wahana Ottomitra Multiartha	tidak
Wahana Pronatural	tidak
Wangsa Jelita	tidak
Warisan Furniture	tidak
Warner Music Indonesia	tidak
Waroeng Steak & Shake	tidak
Waruna Shipyard Indonesia	tidak
Waskita Beton Precast	tidak
Waskita Karya	tidak
Waskita Realty	tidak
We the Teachers	tidak
Wet Plate Kitchen	tidak
WHouse	tidak
Wicaksana Overseas International	tidak
Widodo Makmur Perkasa	tidak
Widodo Makmur Unggas	tidak
Wijaya Cahaya Timber	tidak
Wijaya Karya	tidak
Wijaya Karya Bangunan Gedung	tidak
Wijaya Karya Beton	tidak
Wilmar Cahaya Indonesia	tidak
Wilton Makmur Indonesia	tidak
Winner Nusantara Jaya	tidak
Wintermar Offshore Marine	tidak
WIR Asia	tidak
Wira Global Solusi	tidak
Wismilak Group	tidak
Wismilak Inti Makmur	tidak
WOOK Global Technology	tidak
Wulandari Bangun Laksana	tidak
XLSmart	tidak
YAMAHA INDONESIA MOTOR MANUFACTURING	tidak
Yamaha Music Manufacturing Indonesia	tidak
Yanaprima Hastapersada	tidak
Yasa Wahana Tirta Samudera	tidak
YCAB Foundation	tidak
Yelooo Integra Datanet	tidak
Yogya Group	tidak
Yuanta Asset Management	tidak
Yulie Sekuritas Indonesia	tidak
Yummy Corp	tidak
Yupi	tidak
Zebra Nusantara	tidak
Zenius Education	tidak
Zyrexindo Mandiri Buana	tidak
