word	freq	cap_ratio
cirri	34	0.088
combine	34	0.206
come	34	0.324
criteria	34	0.088
effort	34	0.147
engagement	34	0.206
graphics	34	0.471
lunar	34	0.676
million	34	0.471
optic	34	0.118
period	34	0.176
publish	34	0.059
recorder	34	0.353
retweet	34	0.059
shake	34	0.559
shutter	34	0.265
sold	34	0.176
sprayer	34	0.147
switching	34	0.265
thesis	34	0.265
through	34	0.500
tomcat	34	0.676
without	34	0.471
academic	33	0.697
beverage	33	0.364
bezel	33	0.091
blueberry	33	0.303
bowling	33	0.273
buff	33	0.212
clutch	33	0.333
commitment	33	0.273
delete	33	0.303
detector	33	0.212
diseases	33	0.606
fault	33	0.364
genuine	33	0.515
googling	33	0.061
ideology	33	0.061
livery	33	0.182
macro	33	0.364
megathrust	33	0.303
mention	33	0.212
mother	33	0.515
nail	33	0.576
native	33	0.303
nude	33	0.061
oatmeal	33	0.152
overhead	33	0.121
parent	33	0.273
permanent	33	0.455
protect	33	0.667
quotient	33	0.545
recycle	33	0.242
religious	33	0.333
resign	33	0.061
squid	33	0.424
supporting	33	0.182
thermometer	33	0.212
third	33	0.545
treaty	33	0.636
truth	33	0.606
wind	33	0.606
aloe	32	0.531
apparel	32	0.344
apus	32	0.594
attachment	32	0.250
banana	32	0.375
bear	32	0.625
breakout	32	0.312
built	32	0.375
calendar	32	0.656
clothing	32	0.281
eleven	32	0.500
expenditure	32	0.188
faith	32	0.688
fried	32	0.562
greet	32	0.406
hangout	32	0.156
highlight	32	0.281
leptospirosis	32	0.281
less	32	0.281
literal	32	0.062
phobia	32	0.500
privacy	32	0.375
retreat	32	0.594
rotary	32	0.656
scoring	32	0.156
seed	32	0.594
sentiment	32	0.062
tart	32	0.125
things	32	0.625
translate	32	0.406
another	31	0.323
aperture	31	0.097
augmented	31	0.419
bene	31	0.097
blockchain	31	0.419
bussiness	31	0.645
cheat	31	0.355
clay	31	0.484
confidence	31	0.323
crispy	31	0.323
dash	31	0.613
dock	31	0.355
drill	31	0.226
exposure	31	0.097
fatality	31	0.161
fender	31	0.355
filler	31	0.097
foot	31	0.484
maroon	31	0.355
obligor	31	0.032
pants	31	0.194
pastry	31	0.226
personality	31	0.323
pioneer	31	0.548
plum	31	0.355
polar	31	0.290
potassium	31	0.097
punch	31	0.161
rigid	31	0.161
rill	31	0.032
rooftop	31	0.323
route	31	0.419
safeguard	31	0.097
tail	31	0.387
tariff	31	0.323
terror	31	0.194
ticket	31	0.387
tribute	31	0.677
unity	31	0.613
vanilla	31	0.387
volatile	31	0.161
arthritis	30	0.100
boiler	30	0.367
cartridge	30	0.200
claim	30	0.433
coat	30	0.100
coconut	30	0.533
complete	30	0.633
cooperative	30	0.433
drift	30	0.600
empowerment	30	0.333
feeder	30	0.233
fithri	30	0.600
framing	30	0.167
gasoline	30	0.367
grub	30	0.467
hedging	30	0.033
implant	30	0.233
inspirator	30	0.200
liner	30	0.033
lingerie	30	0.133
literature	30	0.233
marker	30	0.067
quantitative	30	0.267
receiver	30	0.300
recognition	30	0.567
renaissance	30	0.600
rocker	30	0.367
sexual	30	0.433
sideways	30	0.033
spending	30	0.000
stretch	30	0.267
stunning	30	0.033
submit	30	0.200
touchscreen	30	0.100
unicorn	30	0.267
walking	30	0.567
wear	30	0.533
yacht	30	0.367
abate	29	0.207
aglaonema	29	0.448
antibody	29	0.034
author	29	0.586
balanced	29	0.586
billion	29	0.379
brace	29	0.138
clearing	29	0.138
console	29	0.138
derah	29	0.345
docking	29	0.138
elegant	29	0.345
extended	29	0.586
feasibility	29	0.379
integrity	29	0.586
invoice	29	0.310
koor	29	0.138
leather	29	0.448
legging	29	0.103
lesson	29	0.483
linkage	29	0.241
logos	29	0.586
mustard	29	0.069
near	29	0.448
onthel	29	0.207
protease	29	0.103
remake	29	0.138
rendering	29	0.172
repeat	29	0.138
repeater	29	0.310
romantic	29	0.690
searching	29	0.138
shape	29	0.552
smooth	29	0.345
sovereign	29	0.621
speak	29	0.552
staycation	29	0.276
tailing	29	0.069
ticketing	29	0.138
trouble	29	0.207
tune	29	0.414
underlying	29	0.034
vector	29	0.379
want	29	0.655
animator	28	0.214
assets	28	0.464
bandwith	28	0.107
cleansing	28	0.250
clearance	28	0.179
cooking	28	0.500
cracker	28	0.286
deadlock	28	0.036
detection	28	0.321
employee	28	0.393
endurance	28	0.286
essay	28	0.321
esteem	28	0.464
foil	28	0.036
franchisee	28	0.250
genetic	28	0.250
gimmick	28	0.036
glowing	28	0.179
gypsum	28	0.214
hypnosis	28	0.214
invisible	28	0.464
latex	28	0.250
location	28	0.464
mandatory	28	0.107
maximum	28	0.357
muter	28	0.071
needs	28	0.143
outbreak	28	0.143
pain	28	0.429
paint	28	0.571
phishing	28	0.036
rare	28	0.500
roof	28	0.179
sarna	28	0.643
satisfaction	28	0.464
scarf	28	0.179
sesame	28	0.143
spaghetti	28	0.286
spreadsheet	28	0.214
stylist	28	0.107
telephone	28	0.250
temperature	28	0.071
thermogun	28	0.036
tomboy	28	0.000
tugboat	28	0.179
underwriter	28	0.143
actual	27	0.296
aging	27	0.407
armor	27	0.444
banya	27	0.000
bilirubin	27	0.222
breeding	27	0.074
bulk	27	0.481
canvas	27	0.519
char	27	0.481
chips	27	0.296
concealer	27	0.222
cone	27	0.333
enhanced	27	0.556
excited	27	0.074
fibrosis	27	0.000
fleet	27	0.667
garment	27	0.481
grass	27	0.296
jingle	27	0.259
legacy	27	0.481
masterpiece	27	0.444
maximal	27	0.074
millennium	27	0.630
mortgage	27	0.222
overbought	27	0.000
planner	27	0.519
playground	27	0.370
potential	27	0.222
reaktivasi	27	0.111
repository	27	0.111
restore	27	0.407
rural	27	0.556
skirt	27	0.037
there	27	0.667
underdog	27	0.000
vinyl	27	0.222
wish	27	0.630
wrote	27	0.000
administrative	26	0.154
appraisal	26	0.231
around	26	0.615
arrival	26	0.615
blouse	26	0.115
blueprint	26	0.385
bodo	26	0.500
bread	26	0.577
brush	26	0.423
cameo	26	0.115
caretaker	26	0.154
carpet	26	0.231
collaborator	26	0.115
confirm	26	0.192
cookie	26	0.462
dancer	26	0.269
defensive	26	0.346
dressing	26	0.115
easing	26	0.115
emotional	26	0.538
finger	26	0.462
gage	26	0.500
galant	26	0.577
half	26	0.500
hell	26	0.692
journalism	26	0.538
keadaaan	26	0.115
killing	26	0.385
metric	26	0.462
milestone	26	0.077
nervous	26	0.077
nuclear	26	0.692
patas	26	0.615
present	26	0.538
reference	26	0.346
religion	26	0.654
remix	26	0.231
rubella	26	0.385
rugby	26	0.385
secondary	26	0.308
secure	26	0.577
strap	26	0.154
strike	26	0.692
textile	26	0.538
tracker	26	0.538
trawl	26	0.077
trigger	26	0.115
volcano	26	0.615
anthurium	25	0.320
bathtub	25	0.080
boxer	25	0.360
bucket	25	0.120
coaster	25	0.200
condition	25	0.280
cortex	25	0.560
creation	25	0.560
cute	25	0.280
destination	25	0.360
entity	25	0.440
ethanol	25	0.080
excavator	25	0.160
fatty	25	0.400
giveaway	25	0.160
halt	25	0.080
isolation	25	0.120
lease	25	0.480
license	25	0.440
locus	25	0.120
multistage	25	0.080
must	25	0.240
observer	25	0.280
potato	25	0.440
precast	25	0.520
quarantine	25	0.440
reschedule	25	0.040
result	25	0.640
segment	25	0.120
sept	25	0.680
skil	25	0.160
smear	25	0.160
spec	25	0.200
stack	25	0.240
statistic	25	0.080
strategist	25	0.320
styling	25	0.040
syaithan	25	0.200
telephoto	25	0.080
thorax	25	0.120
threat	25	0.680
uncle	25	0.680
volley	25	0.280
wafer	25	0.240
welfare	25	0.520
adjustment	24	0.083
alone	24	0.667
blocking	24	0.167
bodyguard	24	0.167
boost	24	0.667
closet	24	0.125
cocktail	24	0.250
cocoa	24	0.333
coin	24	0.625
compliance	24	0.333
continuous	24	0.500
density	24	0.333
evaluation	24	0.500
everyone	24	0.333
flame	24	0.500
flexible	24	0.292
flyer	24	0.333
graph	24	0.500
handball	24	0.083
handphonenya	24	0.042
hydro	24	0.583
integrator	24	0.208
keeping	24	0.583
late	24	0.500
literacy	24	0.417
lutein	24	0.250
membership	24	0.125
missing	24	0.417
moslem	24	0.625
neck	24	0.167
notch	24	0.125
nozzle	24	0.167
packet	24	0.500
placement	24	0.125
replacement	24	0.167
rosella	24	0.333
scroll	24	0.125
secretariat	24	0.458
sensitive	24	0.125
sure	24	0.042
thing	24	0.625
toolbar	24	0.125
trah	24	0.250
vampire	24	0.333
viewer	24	0.167
ware	24	0.542
weight	24	0.500
abuse	23	0.130
accidental	23	0.261
advantage	23	0.304
article	23	0.435
beam	23	0.652
blacklist	23	0.217
blush	23	0.174
boro	23	0.391
citrus	23	0.652
connectivity	23	0.435
convenience	23	0.391
corn	23	0.435
coto	23	0.565
crayon	23	0.478
easyhoroscope	23	0.348
finding	23	0.609
freelancer	23	0.130
gearbox	23	0.130
headlamp	23	0.130
headway	23	0.217
honeymoon	23	0.217
left	23	0.391
lipstick	23	0.087
loader	23	0.348
maggot	23	0.217
measure	23	0.609
methanol	23	0.261
mommy	23	0.522
motivation	23	0.478
omelet	23	0.217
parallel	23	0.174
peach	23	0.304
probability	23	0.174
protector	23	0.565
pull	23	0.130
question	23	0.609
receptionist	23	0.348
roadster	23	0.565
salary	23	0.565
scam	23	0.217
scenario	23	0.217
scope	23	0.217
shifting	23	0.174
something	23	0.304
spectrum	23	0.348
structure	23	0.304
tote	23	0.348
transceiver	23	0.478
workstation	23	0.130
acrylic	22	0.182
acting	22	0.273
adequacy	22	0.409
aesthetic	22	0.545
balm	22	0.273
bassist	22	0.136
behind	22	0.273
binding	22	0.091
bistro	22	0.682
coil	22	0.182
duck	22	0.682
earnings	22	0.227
equality	22	0.227
everything	22	0.636
expose	22	0.500
false	22	0.227
flawless	22	0.045
forwarder	22	0.364
found	22	0.500
gentle	22	0.273
guitar	22	0.682
hash	22	0.227
helix	22	0.591
hoodie	22	0.182
humble	22	0.091
multidimensional	22	0.091
overtime	22	0.045
painting	22	0.545
requirement	22	0.318
rosemary	22	0.591
servo	22	0.318
speedometer	22	0.227
summary	22	0.364
suspend	22	0.091
themes	22	0.318
then	22	0.409
trick	22	0.318
tuning	22	0.273
unique	22	0.364
vending	22	0.227
affiliate	21	0.286
allowance	21	0.095
antiseptic	21	0.000
authorization	21	0.429
benzo	21	0.333
booklet	21	0.238
bookmark	21	0.238
builder	21	0.381
burst	21	0.381
cardigan	21	0.286
champagne	21	0.571
coastal	21	0.667
collar	21	0.524
convertible	21	0.429
copyright	21	0.333
curriculum	21	0.429
democratic	21	0.571
dial	21	0.286
effective	21	0.333
essence	21	0.667
explore	21	0.619
filling	21	0.286
fluid	21	0.476
gout	21	0.238
happiness	21	0.476
hold	21	0.238
housing	21	0.286
hydrogen	21	0.286
launcher	21	0.524
lunch	21	0.429
mesh	21	0.238
moody	21	0.571
mounting	21	0.000
mouth	21	0.333
ordinary	21	0.429
phase	21	0.333
polyester	21	0.238
pretest	21	0.095
quantity	21	0.429
referee	21	0.476
reliable	21	0.095
render	21	0.095
ribbon	21	0.524
send	21	0.381
soil	21	0.429
stratified	21	0.286
swine	21	0.619
thalasemia	21	0.286
unfurnished	21	0.000
valet	21	0.048
vocational	21	0.667
wallet	21	0.476
winning	21	0.667
aerobic	20	0.200
ally	20	0.350
autonomous	20	0.600
available	20	0.200
bail	20	0.150
baseline	20	0.100
blended	20	0.150
bundle	20	0.600
cannon	20	0.200
capping	20	0.050
chair	20	0.650
complain	20	0.050
compound	20	0.200
coping	20	0.150
corridor	20	0.600
curcumin	20	0.300
cutter	20	0.200
dividend	20	0.400
downline	20	0.000
edible	20	0.200
efficiency	20	0.550
entertainer	20	0.100
euthanasia	20	0.250
every	20	0.450
extract	20	0.250
fillet	20	0.200
gauge	20	0.150
glossy	20	0.000
guarantee	20	0.400
handicraft	20	0.400
histogram	20	0.150
hyper	20	0.450
indent	20	0.050
installer	20	0.300
instruction	20	0.350
internship	20	0.250
invest	20	0.400
jockey	20	0.550
kickoff	20	0.050
ladder	20	0.250
lean	20	0.400
lecture	20	0.600
leisure	20	0.400
magnitude	20	0.250
makluk	20	0.000
managerial	20	0.300
maternal	20	0.250
meal	20	0.450
missal	20	0.250
normative	20	0.000
osteoarthritis	20	0.300
pantry	20	0.150
past	20	0.550
penta	20	0.600
penthouse	20	0.550
plain	20	0.350
preemtif	20	0.000
probe	20	0.350
royalty	20	0.200
scrap	20	0.100
sealer	20	0.150
shoulder	20	0.400
sickness	20	0.100
sitter	20	0.050
skating	20	0.150
sliding	20	0.200
soap	20	0.500
still	20	0.450
stylus	20	0.100
subway	20	0.200
taker	20	0.250
teamwork	20	0.150
transaction	20	0.350
tray	20	0.200
tubulus	20	0.150
turnover	20	0.150
twist	20	0.450
usual	20	0.200
warm	20	0.450
waterproof	20	0.150
weakness	20	0.350
approval	19	0.211
arranger	19	0.053
bankable	19	0.053
beige	19	0.105
bomb	19	0.474
bottle	19	0.632
bracket	19	0.368
browse	19	0.474
cabinet	19	0.158
cavendish	19	0.474
centered	19	0.263
channeling	19	0.105
collaboration	19	0.684
contra	19	0.105
cozy	19	0.263
defect	19	0.105
diversity	19	0.632
donator	19	0.000
drain	19	0.526
driven	19	0.211
edgy	19	0.000
ethical	19	0.368
euphoria	19	0.421
feasible	19	0.000
folk	19	0.316
freestyle	19	0.211
gesture	19	0.158
gravity	19	0.684
guidance	19	0.263
harvester	19	0.263
helper	19	0.211
honey	19	0.684
impeachment	19	0.000
include	19	0.105
infection	19	0.579
into	19	0.684
introduction	19	0.526
investigator	19	0.158
landed	19	0.000
linked	19	0.474
looking	19	0.421
maximus	19	0.632
membackup	19	0.000
membrane	19	0.105
meneer	19	0.684
mermaid	19	0.632
microphone	19	0.000
mist	19	0.684
newsletter	19	0.421
nile	19	0.579
overstay	19	0.053
palsy	19	0.263
papaya	19	0.263
paradigm	19	0.263
periodontal	19	0.000
powered	19	0.474
proker	19	0.158
prompt	19	0.211
prudent	19	0.000
purifier	19	0.526
reboot	19	0.105
remittance	19	0.474
responsive	19	0.263
reversal	19	0.158
sain	19	0.474
shirt	19	0.158
significant	19	0.105
socket	19	0.158
sofware	19	0.105
specimen	19	0.053
steady	19	0.526
stuck	19	0.158
superblock	19	0.368
turtle	19	0.632
unlock	19	0.474
wearable	19	0.211
whey	19	0.211
amma	18	0.556
arcade	18	0.389
banker	18	0.333
barbershop	18	0.333
bedroom	18	0.278
bound	18	0.667
bullion	18	0.278
bungalow	18	0.333
chest	18	0.500
coming	18	0.611
competitive	18	0.167
competitiveness	18	0.500
concierge	18	0.111
conditional	18	0.500
culvert	18	0.000
deodorant	18	0.222
dine	18	0.278
disable	18	0.278
filtering	18	0.167
fiscal	18	0.000
funky	18	0.167
gossip	18	0.333
goverment	18	0.444
habit	18	0.389
handmade	18	0.222
hydraulic	18	0.444
implementation	18	0.667
incident	18	0.611
intangible	18	0.333
integration	18	0.611
interchange	18	0.556
joke	18	0.167
keadaanya	18	0.111
locker	18	0.444
much	18	0.389
nothing	18	0.444
offer	18	0.111
oleg	18	0.611
patient	18	0.556
pellet	18	0.167
peppermint	18	0.167
photoshoot	18	0.111
pipe	18	0.611
postfix	18	0.556
quasi	18	0.278
regulatory	18	0.444
remove	18	0.500
resolution	18	0.667
rope	18	0.500
sanitary	18	0.222
schooling	18	0.278
slop	18	0.056
smoke	18	0.556
soya	18	0.611
steward	18	0.500
subwoofer	18	0.111
surgical	18	0.111
sync	18	0.611
synthesizer	18	0.056
tapping	18	0.056
tattoo	18	0.222
temporary	18	0.278
tense	18	0.444
tide	18	0.444
towing	18	0.222
tubing	18	0.278
vessel	18	0.444
waterboom	18	0.278
write	18	0.500
algae	17	0.353
ammonium	17	0.235
amphetamine	17	0.176
antenna	17	0.059
assignment	17	0.647
attention	17	0.471
behavioral	17	0.294
blockbuster	17	0.118
bulletin	17	0.588
burden	17	0.118
cellular	17	0.588
cent	17	0.647
choke	17	0.118
civilization	17	0.353
coke	17	0.529
creamy	17	0.176
cylinder	17	0.235
decade	17	0.235
diffuser	17	0.118
dish	17	0.118
elearning	17	0.118
entertain	17	0.000
epidemic	17	0.647
explanatory	17	0.235
fabric	17	0.353
fact	17	0.294
featuring	17	0.000
freight	17	0.235
friendship	17	0.647
gethuk	17	0.471
given	17	0.647
grading	17	0.353
helicopter	17	0.353
influence	17	0.235
invesment	17	0.529
judgement	17	0.235
lien	17	0.588
loro	17	0.647
magician	17	0.588
millennial	17	0.235
notification	17	0.471
ovation	17	0.059
ownership	17	0.176
patent	17	0.471
pipeline	17	0.176
pollen	17	0.471
progressive	17	0.529
readers	17	0.529
renewable	17	0.235
rotor	17	0.059
saliva	17	0.118
seine	17	0.529
sequence	17	0.471
stabilizer	17	0.059
steal	17	0.294
sunroof	17	0.176
thariqah	17	0.353
throttle	17	0.588
tigris	17	0.588
tracer	17	0.471
trance	17	0.059
traveller	17	0.353
tryout	17	0.412
underwater	17	0.471
underwriting	17	0.176
voltage	17	0.294
waiter	17	0.176
weapon	17	0.412
whistle	17	0.294
acne	16	0.625
aureus	16	0.062
backlog	16	0.062
backstage	16	0.500
boring	16	0.188
bounce	16	0.562
branchless	16	0.062
breast	16	0.625
canopy	16	0.312
chiffon	16	0.125
colorful	16	0.500
completely	16	0.438
convalescent	16	0.250
cowboy	16	0.625
creambath	16	0.375
cupcake	16	0.250
deficit	16	0.125
downstream	16	0.125
ease	16	0.500
edutainment	16	0.250
effects	16	0.562
equal	16	0.562
escrow	16	0.188
evidence	16	0.500
fear	16	0.562
flavor	16	0.125
forehand	16	0.000
forwarding	16	0.125
fundus	16	0.062
gloss	16	0.312
grounded	16	0.188
housekeeping	16	0.438
humanoid	16	0.250
inclusion	16	0.375
innocence	16	0.688
intent	16	0.562
lovebird	16	0.375
mailbox	16	0.312
manage	16	0.312
maple	16	0.375
markup	16	0.312
maternity	16	0.438
methyl	16	0.500
minute	16	0.562
nursery	16	0.500
objective	16	0.500
octagon	16	0.188
onset	16	0.062
outreach	16	0.500
overheating	16	0.062
pandita	16	0.562
passenger	16	0.562
passive	16	0.188
pathogen	16	0.062
penalty	16	0.062
peripheral	16	0.312
personnel	16	0.188
philosophy	16	0.688
plank	16	0.250
polyethylene	16	0.250
preliminary	16	0.375
preventive	16	0.188
principle	16	0.250
racer	16	0.562
rand	16	0.688
ransomware	16	0.438
retracement	16	0.062
rhesus	16	0.125
salaam	16	0.625
sauce	16	0.312
scooter	16	0.625
seismic	16	0.125
separator	16	0.125
shale	16	0.375
shockbreaker	16	0.062
slave	16	0.688
slayer	16	0.688
slice	16	0.438
sparring	16	0.062
spinal	16	0.000
spinning	16	0.312
sponge	16	0.312
squash	16	0.375
static	16	0.375
subscribe	16	0.375
sudden	16	0.375
sunscreen	16	0.062
synthetic	16	0.500
tantrum	16	0.250
thrust	16	0.375
trace	16	0.188
typhi	16	0.062
unaudited	16	0.125
uptrend	16	0.188
vocabulary	16	0.312
voor	16	0.312
voter	16	0.000
wakif	16	0.375
while	16	0.688
whitening	16	0.312
wired	16	0.625
written	16	0.625
argument	15	0.000
arrangement	15	0.333
atmosphere	15	0.600
badge	15	0.267
ballad	15	0.200
binary	15	0.267
blas	15	0.133
bonding	15	0.200
bridal	15	0.533
bronze	15	0.667
bullet	15	0.667
buoy	15	0.133
cabotage	15	0.000
captive	15	0.000
carding	15	0.267
cello	15	0.600
cerebral	15	0.267
checkpoint	15	0.133
clash	15	0.667
classy	15	0.467
climbing	15	0.467
conduct	15	0.533
context	15	0.400
cooler	15	0.200
cordyceps	15	0.600
costing	15	0.200
curly	15	0.467
destructive	15	0.467
dispute	15	0.533
ecosystem	15	0.667
employment	15	0.533
esophagus	15	0.067
ethics	15	0.467
exhaust	15	0.267
exist	15	0.200
experiment	15	0.267
fathers	15	0.333
floppy	15	0.267
forecast	15	0.400
forget	15	0.667
genome	15	0.200
gentleman	15	0.333
historic	15	0.600
hollow	15	0.267
homemade	15	0.200
horn	15	0.667
illustrator	15	0.267
inquiry	15	0.267
insecure	15	0.000
jobseeker	15	0.200
judge	15	0.333
judgment	15	0.133
jure	15	0.000
keeper	15	0.200
learn	15	0.533
lycopene	15	0.067
mammoth	15	0.467
marking	15	0.267
mine	15	0.667
mummy	15	0.533
naked	15	0.467
niche	15	0.200
overclock	15	0.267
oversold	15	0.000
pandora	15	0.600
paragraph	15	0.067
parliament	15	0.667
pent	15	0.000
pharos	15	0.200
placebo	15	0.267
polish	15	0.533
premature	15	0.067
pudding	15	0.400
qualified	15	0.133
replay	15	0.200
residual	15	0.200
reuse	15	0.333
rhythm	15	0.600
sage	15	0.667
saying	15	0.000
selective	15	0.133
serious	15	0.467
shuffle	15	0.400
sidekick	15	0.600
skater	15	0.067
smoothie	15	0.200
sola	15	0.400
sounding	15	0.133
squat	15	0.200
stimuli	15	0.200
straw	15	0.200
streamingnya	15	0.000
stripe	15	0.133
surge	15	0.400
suspension	15	0.600
tackle	15	0.133
taper	15	0.133
televise	15	0.000
testimonial	15	0.133
thaghut	15	0.200
them	15	0.400
thin	15	0.533
took	15	0.000
tractor	15	0.600
turban	15	0.200
wake	15	0.533
waterfall	15	0.467
wavelet	15	0.200
winch	15	0.000
wrap	15	0.400
wrong	15	0.533
ability	14	0.143
above	14	0.643
anopheles	14	0.643
anthrax	14	0.357
backlight	14	0.286
balk	14	0.000
beking	14	0.071
belonging	14	0.071
berkoodinasi	14	0.000
billiard	14	0.214
bioethanol	14	0.214
bleaching	14	0.071
blow	14	0.286
bottleneck	14	0.143
brief	14	0.286
buddy	14	0.643
bump	14	0.571
bushel	14	0.000
candid	14	0.143
capability	14	0.214
carica	14	0.357
chassis	14	0.000
checklist	14	0.143
chick	14	0.429
collective	14	0.500
confident	14	0.071
connector	14	0.643
constitutional	14	0.500
convert	14	0.214
corrupt	14	0.214
crab	14	0.571
crack	14	0.214
cracking	14	0.500
culinary	14	0.643
dairy	14	0.643
deployment	14	0.357
deponeering	14	0.071
depression	14	0.357
devil	14	0.643
different	14	0.429
differential	14	0.429
disposable	14	0.357
divergence	14	0.214
dominant	14	0.214
downgrade	14	0.071
dwelling	14	0.000
elbow	14	0.571
enzyme	14	0.286
equip	14	0.214
expansion	14	0.429
facilitator	14	0.357
features	14	0.071
feeding	14	0.500
garlic	14	0.571
gonadotropin	14	0.357
goodwill	14	0.571
gothic	14	0.500
grease	14	0.500
guideline	14	0.071
hockey	14	0.429
immune	14	0.500
incentive	14	0.500
incinerator	14	0.286
instar	14	0.071
intellectual	14	0.500
journalist	14	0.286
kebathilan	14	0.000
kickboxing	14	0.643
knockout	14	0.143
latian	14	0.214
linguistic	14	0.500
liquidity	14	0.429
lockdwon	14	0.143
manufacturer	14	0.643
meaning	14	0.429
medley	14	0.143
melanoma	14	0.286
molecular	14	0.286
negotiable	14	0.071
nickname	14	0.214
overheat	14	0.143
paddle	14	0.429
pager	14	0.357
pitch	14	0.357
plane	14	0.500
polymer	14	0.429
pouch	14	0.357
primigravida	14	0.000
province	14	0.643
quark	14	0.143
quercetin	14	0.000
reason	14	0.429
reasoning	14	0.143
refill	14	0.286
reflux	14	0.071
reproduction	14	0.357
resist	14	0.214
saloon	14	0.643
same	14	0.571
sandbox	14	0.357
saver	14	0.357
scholar	14	0.571
sego	14	0.500
settlement	14	0.357
slab	14	0.143
softball	14	0.214
soup	14	0.643
spell	14	0.500
stability	14	0.571
swinger	14	0.143
taken	14	0.571
talking	14	0.500
thema	14	0.357
tidal	14	0.214
trademark	14	0.214
translator	14	0.357
tubular	14	0.071
tumbler	14	0.429
upstream	14	0.286
usage	14	0.429
voodoo	14	0.571
webtoon	14	0.214
wellness	14	0.429
wijck	14	0.643
ammonia	13	0.231
analyzer	13	0.538
antibiotic	13	0.000
aquatic	13	0.615
atheisme	13	0.231
auction	13	0.615
automation	13	0.692
backhand	13	0.000
backpack	13	0.308
banyan	13	0.462
because	13	0.615
belief	13	0.154
burner	13	0.154
capacitive	13	0.231
cart	13	0.385
cement	13	0.615
chitosan	13	0.154
circular	13	0.385
citizenship	13	0.615
clubbing	13	0.000
colonial	13	0.154
concrete	13	0.462
consent	13	0.308
crowd	13	0.462
diplomacy	13	0.308
dive	13	0.692
done	13	0.615
dorm	13	0.154
duplex	13	0.308
earbuds	13	0.308
electron	13	0.154
emission	13	0.692
endorser	13	0.077
enough	13	0.462
equalizer	13	0.231
ethos	13	0.231
everyday	13	0.615
exceed	13	0.538
experimental	13	0.692
fairness	13	0.154
finisher	13	0.077
folklore	13	0.538
granite	13	0.308
growing	13	0.538
gulden	13	0.000
gunner	13	0.692
handbook	13	0.538
hedge	13	0.231
hexa	13	0.615
ideas	13	0.692
inflation	13	0.231
inherent	13	0.692
interviewer	13	0.231
islamophobia	13	0.692
kanthi	13	0.615
kreatifitasnya	13	0.000
labia	13	0.077
liability	13	0.308
litter	13	0.000
lump	13	0.154
manifest	13	0.077
manufacture	13	0.308
marijuana	13	0.154
medal	13	0.538
menarche	13	0.154
minion	13	0.308
muscle	13	0.231
nori	13	0.385
optional	13	0.077
pension	13	0.462
perfume	13	0.692
periodontitis	13	0.385
phyton	13	0.231
presentation	13	0.462
primitive	13	0.077
protective	13	0.462
ramp	13	0.462
redemption	13	0.615
reel	13	0.385
referral	13	0.231
registration	13	0.538
regulated	13	0.000
reinforcement	13	0.000
rescuer	13	0.308
rotation	13	0.538
scouting	13	0.308
seater	13	0.077
seeded	13	0.615
shareholder	13	0.154
should	13	0.538
silica	13	0.231
sirloin	13	0.231
skimming	13	0.077
skinny	13	0.231
some	13	0.385
someone	13	0.385
splitter	13	0.231
sunblock	13	0.000
taste	13	0.231
territorial	13	0.154
thalassemia	13	0.308
they	13	0.615
thought	13	0.462
threesome	13	0.308
toolkit	13	0.308
topless	13	0.077
transmitter	13	0.000
triad	13	0.385
tribulus	13	0.692
trustee	13	0.308
tuner	13	0.231
tweeter	13	0.538
twisted	13	0.385
vacation	13	0.615
vial	13	0.077
viper	13	0.692
visibility	13	0.231
voluntary	13	0.385
waring	13	0.692
warranty	13	0.308
which	13	0.154
addendum	12	0.417
additive	12	0.250
affordable	12	0.417
aftershock	12	0.167
albicans	12	0.000
amenity	12	0.417
anxiety	12	0.250
arch	12	0.667
aromatic	12	0.417
assessor	12	0.417
authentication	12	0.333
ayoo	12	0.667
backdoor	12	0.083
backgroundnya	12	0.167
backing	12	0.083
baggage	12	0.500
beginner	12	0.333
bipartisan	12	0.333
blending	12	0.333
boogie	12	0.667
breakdown	12	0.000
brilliant	12	0.417
brow	12	0.417
catching	12	0.083
cause	12	0.333
cedar	12	0.500
celosia	12	0.333
cheater	12	0.500
checks	12	0.083
chiller	12	0.167
chloride	12	0.333
clamshell	12	0.000
clustering	12	0.250
commodity	12	0.417
consensus	12	0.167
contemporary	12	0.667
contraflow	12	0.083
dank	12	0.000
decker	12	0.583
deliver	12	0.250
dependent	12	0.250
develop	12	0.417
discharge	12	0.250
distributed	12	0.500
doggy	12	0.167
dont	12	0.417
doortrim	12	0.250
dumb	12	0.500
facebooker	12	0.500
forecasting	12	0.333
funds	12	0.417
furnace	12	0.083
gantry	12	0.500
gastroesophageal	12	0.167
girder	12	0.167
goodie	12	0.167
height	12	0.667
hetero	12	0.667
hide	12	0.583
hinterland	12	0.083
hiphop	12	0.583
hose	12	0.417
iconic	12	0.333
iguana	12	0.167
incremental	12	0.583
instance	12	0.333
jazzy	12	0.500
jumper	12	0.250
kefir	12	0.167
kind	12	0.417
lace	12	0.250
latency	12	0.083
leap	12	0.583
maid	12	0.583
massive	12	0.417
mature	12	0.083
maturity	12	0.333
mela	12	0.667
memback	12	0.000
methode	12	0.250
minded	12	0.333
modest	12	0.500
monument	12	0.583
moringa	12	0.500
mushroom	12	0.500
noodle	12	0.500
nylon	12	0.583
overview	12	0.500
palisade	12	0.583
