model_id,jalan,lema,jawaban_model,kunci_hadir
gpt-5.6-luna,3,Graji,“Graji” berarti **gergaji** dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Iki,"""Iki"" berarti ""ini"" dalam bahasa Indonesia.",1
gpt-5.6-luna,3,Inggil,Inggil berarti tinggi atau luhur.,1
gpt-5.6-luna,3,Isuk,"""Isuk"" berarti **pagi** atau **besok**, tergantung konteks.",1
gpt-5.6-luna,3,Jalaran,Jalaran berarti karena atau disebabkan oleh.,1
gpt-5.6-luna,3,Janganan,“Janganan” berarti sayur atau masakan berkuah.,1
gpt-5.6-luna,3,Jeblos,"Jeblos berarti masuk atau jatuh ke dalam lubang, juga dapat berarti terperosok.",1
gpt-5.6-luna,3,Jeglongan,"“Jeglongan” berarti lubang atau cekungan, biasanya pada permukaan jalan.",1
gpt-5.6-luna,3,Kae,“Kae” berarti “itu” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Kajeng,“Kajeng” berarti **kayu**.,1
gpt-5.6-luna,3,Kawulo,"Kawulo berarti hamba atau rakyat, biasanya sebagai sebutan untuk orang yang mengabdi kepada raja atau Tuhan.",1
gpt-5.6-luna,3,Kaya dene,“Kaya dene” berarti “seperti halnya” atau “sebagaimana”.,1
gpt-5.6-luna,3,Kebluk,“Kebluk” berarti tidur nyenyak atau pulas.,1
gpt-5.6-luna,3,Keluk,"Keluk berarti asap, terutama asap yang mengepul tebal.",1
gpt-5.6-luna,3,Kepethuk,“Kepethuk” berarti “bertemu” atau “berjumpa.”,1
gpt-5.6-luna,3,Keplongor,“Keplongor” berarti tercengang atau melongo karena kaget.,0
gpt-5.6-luna,3,Kiwa,Kiwa berarti kiri.,1
gpt-5.6-luna,3,Koen,"“Koen” berarti “kamu” atau “engkau” dalam bahasa Indonesia, biasanya digunakan dalam ragam bahasa Jawa yang kasar atau akrab.",1
gpt-5.6-luna,3,Kowe,“Kowe” berarti “kamu” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Kula,Saya (bahasa Jawa krama).,1
gpt-5.6-luna,3,Kulon,Kulon berarti barat.,1
gpt-5.6-luna,3,Kupat,"Kupat berarti makanan tradisional Jawa berupa ketupat, yaitu nasi yang dimasak dalam anyaman daun kelapa.",1
gpt-5.6-luna,3,Lanang,Lanang berarti laki-laki atau pria.,1
gpt-5.6-luna,3,lhais,"“Lhais” berarti ungkapan keterkejutan, seperti “wah” atau “astaga”.",0
gpt-5.6-luna,3,Likur,"Likur berarti angka dua puluh satu hingga dua puluh sembilan dalam bahasa Jawa, misalnya selikur (21) dan telulikur (23).",1
gpt-5.6-luna,3,Londo ireng,"“Londo ireng” berarti “orang asing berkulit hitam,” secara harfiah “Belanda hitam.”",1
gpt-5.6-luna,3,Luwes,"Luwes berarti fleksibel, mudah menyesuaikan diri, atau tidak kaku.",1
gpt-5.6-luna,3,Mbanyol,“Mbanyol” berarti bercanda atau bergurau.,1
gpt-5.6-luna,3,Mbeling,"Mbeling berarti nakal, bandel, atau sulit diatur.",1
gpt-5.6-luna,3,mbesengut,Mbesengut berarti cemberut atau bermuka masam.,1
gpt-5.6-luna,3,Mbok,“Mbok” berarti ibu atau panggilan untuk perempuan yang lebih tua.,1
gpt-5.6-luna,3,Mboten,“Mboten” berarti “tidak” atau “bukan” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Meh,“Meh” berarti “hampir” atau “mau” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Mekaten,Mekaten berarti “demikian” atau “begitulah” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Mendoan,Mendoan berarti makanan khas Jawa berupa tempe yang dibalut adonan tepung lalu digoreng setengah matang.,1
gpt-5.6-luna,3,Meneh,“Meneh” berarti “lagi” atau “kembali”.,1
gpt-5.6-luna,3,Menungso,“Menungso” berarti “manusia” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Mrene,“Mrene” berarti “ke sini” atau “kemari.”,1
gpt-5.6-luna,3,Mripate,“Mripate” berarti “matanya” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Muwah-muwuh,“Muwah-muwuh” berarti menambah-nambahi atau berlebihan.,1
gpt-5.6-luna,3,Namung,Namung berarti “hanya” atau “cuma”.,1
gpt-5.6-luna,3,Nanging,“Nanging” berarti “tetapi” atau “namun.”,1
gpt-5.6-luna,3,Ndrawasi,“Ndrawasi” berarti **mengawasi atau memperhatikan**.,0
gpt-5.6-luna,3,Nduwur,"""Nduwur"" berarti ""di atas"" atau ""bagian atas.""",1
gpt-5.6-luna,3,Nedha,“Nedha” berarti makan (bahasa Jawa krama).,1
gpt-5.6-luna,3,Ngarit,“Ngarit” berarti mencari atau memotong rumput untuk pakan ternak.,1
gpt-5.6-luna,3,Ngebaki,“Ngebaki” berarti memenuhi atau mengisi hingga penuh.,1
gpt-5.6-luna,3,Ngecembeng,“Ngecembeng” berarti menangis atau merengek karena manja.,0
gpt-5.6-luna,3,Ngelih,“Ngelih” berarti “lapar.”,1
gpt-5.6-luna,3,nggapleki,“Nggapleki” berarti menyebalkan atau menjengkelkan.,1
gpt-5.6-luna,3,Nggawe,“Nggawe” berarti “membuat” atau “mengerjakan.”,1
gpt-5.6-luna,3,nggeh,“Nggeh” berarti “iya” atau “ya” dengan nuansa sopan dalam bahasa Jawa.,1
gpt-5.6-luna,3,Nggoser,“Nggoser” berarti menggeser atau memindahkan sesuatu.,0
gpt-5.6-luna,3,Nggugah,"Nggugah berarti membangkitkan, menyadarkan, atau menggerakkan perasaan dan pikiran.",1
gpt-5.6-luna,3,Ngono,“Ngono” berarti “begitu” atau “seperti itu.”,1
gpt-5.6-luna,3,Niku,“Niku” berarti “itu” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Ning,"“Ning” berarti “tetapi/namun” atau “di”, tergantung konteks penggunaannya.",1
gpt-5.6-luna,3,Ningali,“Ningali” berarti **melihat**.,1
gpt-5.6-luna,3,Njero,“Njero” berarti “dalam” atau “bagian dalam.”,1
gpt-5.6-luna,3,Nrimo,Nrimo berarti menerima dengan ikhlas dan lapang dada.,1
gpt-5.6-luna,3,Nyambut,“Nyambut” berarti **menyambut**.,0
gpt-5.6-luna,3,Nyandhak,“Nyandhak” berarti **menangkap atau memegang**.,1
gpt-5.6-luna,3,Og,“Og” berarti “juga” atau “pula” dalam bahasa Indonesia.,0
gpt-5.6-luna,3,Padha,“Padha” berarti “sama” atau “mereka” (tergantung konteks).,1
gpt-5.6-luna,3,Pancen,“Pancen” berarti “memang” atau “sungguh”.,1
gpt-5.6-luna,3,Panggah,"“Panggah” berarti tetap, teguh, atau tidak berubah.",1
gpt-5.6-luna,3,Panjenengan,“Panjenengan” berarti “Anda” atau “kamu” dalam bentuk sopan.,1
gpt-5.6-luna,3,Pedhot,Pedhot berarti putus atau terhenti.,1
gpt-5.6-luna,3,Pewe,"“Pewe” berarti nyaman atau enak, biasanya merujuk pada posisi atau keadaan yang menyenangkan.",1
gpt-5.6-luna,3,Pindho,"“Pindho” berarti “kedua” atau “dua kali,” tergantung konteks.",1
gpt-5.6-luna,3,Pirantos,“Pirantos” berarti **alat atau perkakas**.,1
gpt-5.6-luna,3,Pitakon,“Pitakon” berarti “pertanyaan”.,1
gpt-5.6-luna,3,Piyambak,“Piyambak” berarti “sendiri” atau “dirinya sendiri.”,1
gpt-5.6-luna,3,Purun,“Purun” berarti mau atau bersedia.,1
gpt-5.6-luna,3,Reksa,“Reksa” berarti menjaga atau memelihara.,1
gpt-5.6-luna,3,Rene,“Rene” berarti “sini” atau “kemarilah.”,0
gpt-5.6-luna,3,Riyoyo,"“Riyoyo” berarti hari raya atau hari besar, terutama Lebaran.",1
gpt-5.6-luna,3,Rontek,"Rontek berarti rontok atau terlepas, biasanya untuk rambut, daun, atau bulu.",0
gpt-5.6-luna,3,Sae,“Sae” berarti “baik” atau “bagus.”,1
gpt-5.6-luna,3,Saged,“Saged” berarti “bisa” atau “dapat.”,1
gpt-5.6-luna,3,Sagedipun,“Sagedipun” berarti “semampunya” atau “sebisa mungkin.”,1
gpt-5.6-luna,3,Sampun,“Sampun” berarti “sudah” atau “telah.”,1
gpt-5.6-luna,3,Sanadyan,Sanadyan berarti “meskipun” atau “walaupun.”,1
gpt-5.6-luna,3,Seje,Seje berarti **berbeda** atau **lain**.,1
gpt-5.6-luna,3,Senep,"Senep berarti perasaan sesak, tertekan, atau susah hati.",0
gpt-5.6-luna,3,Sewelas,Sewelas berarti sebelas.,1
gpt-5.6-luna,3,Sitok,“Sitok” berarti “satu” atau “sebuah.”,1
gpt-5.6-luna,3,Songo,“Songo” berarti “sembilan.”,1
gpt-5.6-luna,3,sopo,“Sopo” berarti “siapa” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Stel kendo,“Stel kendo” berarti mengatur agar longgar atau tidak terlalu kencang.,1
gpt-5.6-luna,3,Sugeng,“Sugeng” berarti “selamat” atau “sejahtera.”,1
gpt-5.6-luna,3,Sumelang,"“Sumelang” berarti cemas, khawatir, atau waswas.",1
gpt-5.6-luna,3,Sundel,"“Sundel” berarti perempuan jalang atau pelacur, dan merupakan kata kasar/merendahkan.",1
gpt-5.6-luna,3,Surup,Surup berarti waktu matahari terbenam atau menjelang malam.,1
gpt-5.6-luna,3,Syawalan,Syawalan adalah tradisi berkumpul dan saling bermaaf-maafan setelah Hari Raya Idulfitri.,1
gpt-5.6-luna,3,Tali goci,“Tali goci” berarti tali untuk mengikat atau membawa guci (wadah air).,0
gpt-5.6-luna,3,Tengen,“Tengen” berarti “kanan” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Tiwas,Tiwas berarti “sudah terlanjur” atau “sia-sia.”,1
gpt-5.6-luna,3,Tresna,Tresna berarti cinta atau kasih sayang.,1
gpt-5.6-luna,3,Tumbas,“Tumbas” berarti “membeli.”,1
gpt-5.6-luna,3,Tur,"“Tur” berarti “dan/serta” atau “lagi pula”, tergantung konteks.",1
gpt-5.6-luna,3,Unjung-unjung,“Unjung-unjung” berarti saling berkunjung atau bersilaturahmi.,1
gpt-5.6-luna,3,Urug,“Urug” berarti menimbun atau mengisi dengan tanah.,1
gpt-5.6-luna,3,Wadon,Wadon berarti perempuan atau wanita.,1
gpt-5.6-luna,3,Wedhi,Wedhi artinya pasir.,1
gpt-5.6-luna,3,Wo,"“Wo” berarti **paman**, atau sapaan untuk laki-laki yang lebih tua.",0
gpt-5.6-luna,3,Yen,“Yen” berarti “jika” atau “kalau”.,1
gemma-4-31b,1,akeh,Akeh artinya banyak.,1
gemma-4-31b,1,Anggitan,"Anggitan berarti karangan, ciptaan, atau hasil rekaan.",1
gemma-4-31b,1,bajigur,"Bajigur adalah minuman tradisional khas Jawa Barat yang terbuat dari santan, gula aren, dan jahe.",1
gemma-4-31b,1,Balung,Balung berarti tulang.,1
gemma-4-31b,1,bantet,Bantet berarti pendek dan gemuk atau tidak mengembang (untuk kue).,1
gemma-4-31b,1,Bedat,**Bedat** berarti ikat kepala atau pengikat rambut yang terbuat dari kain.,0
gemma-4-31b,1,Bisane,"**Bisane** berarti ""bisanya"" atau ""hanya bisa"".",1
gemma-4-31b,1,Blumbang,Blumbang berarti kolam.,1
gemma-4-31b,1,Bolo,"Bolo berarti teman, kawan, atau sahabat.",1
gemma-4-31b,1,Bondho,Bondho berarti modal atau harta benda.,1
gemma-4-31b,1,Bongko,**Bongko** berarti bongsor atau berukuran lebih besar dari biasanya.,0
gemma-4-31b,1,Briwut,"**Briwut** berarti berantakan, tidak rapi, atau semrawut.",0
gemma-4-31b,1,Carane,**Carane** berarti **caranya**.,1
gemma-4-31b,1,Celuk,Celuk berarti memanggil atau meminta seseorang untuk datang.,1
gemma-4-31b,1,Cempe,Cempe berarti anak kambing.,1
gemma-4-31b,1,Cetho,**Cetho** berarti jelas atau nyata.,1
gemma-4-31b,1,Cilik,Cilik artinya kecil.,1
gemma-4-31b,1,Crigis,**Crigis** berarti cerewet atau banyak bicara (biasanya dalam konteks mengomel).,1
gemma-4-31b,1,Dalem,"""Dalem"" berarti ""saya"" (digunakan sebagai jawaban sopan saat dipanggil) atau bisa berarti ""rumah/dalam"".",1
gemma-4-31b,1,Dateng,Dateng berarti datang.,1
gemma-4-31b,1,Dong opo ora,"Artinya adalah ""Bisa atau tidak"".",1
gemma-4-31b,1,Dudu,**Dudu** berarti **bukan**.,1
gemma-4-31b,1,Embuh,"**Embuh** artinya adalah ""tidak tahu"" atau ""terserah"".",1
gemma-4-31b,1,Endog,Endog berarti telur.,1
gemma-4-31b,1,Entek,**Entek** berarti habis.,1
gemma-4-31b,1,Gangsal,Gangsal berarti lima (dalam tingkatan bahasa Jawa Krama/halus).,1
gemma-4-31b,1,Geger,"**Geger** berarti heboh, gempar, atau bagian punggung.",1
gemma-4-31b,1,Gentho,**Gentho** berarti merasa jijik atau muak.,0
gemma-4-31b,1,Graji,Graji berarti gergaji.,1
gemma-4-31b,1,Iki,**Iki** berarti **ini**.,1
gemma-4-31b,1,Inggil,**Inggil** berarti tinggi (digunakan dalam tingkatan bahasa halus/Krama Inggil).,1
gemma-4-31b,1,Isuk,Isuk berarti pagi.,1
gemma-4-31b,1,Jalaran,"**Jalaran** berarti ""karena"" atau ""sebab"".",1
gemma-4-31b,1,Janganan,Janganan adalah sebutan untuk masakan sayur berkuah.,1
gemma-4-31b,1,Jeblos,**Jeblos** berarti masuk ke dalam lubang atau terperosok (sering digunakan dalam konteks masuk penjara).,1
gemma-4-31b,1,Jeglongan,Jeglongan adalah istilah untuk tempat atau area yang posisinya lebih rendah (cekung) dibandingkan area di sekitarnya.,1
gemma-4-31b,1,Kae,**Kae** berarti **itu** (digunakan untuk menunjuk benda yang letaknya jauh dari pembicara dan lawan bicara).,1
gemma-4-31b,1,Kajeng,Kajeng berarti **beras** (dalam bahasa Jawa krama).,0
gemma-4-31b,1,Kawulo,"Kawulo berarti hamba, abdi, atau rakyat jelata.",1
gemma-4-31b,1,Kaya dene,"""Kaya dene"" berarti ""seperti"" atau ""ibarat"".",1
gemma-4-31b,1,Kebluk,"Kebluk berarti tertutup atau terhalang oleh debu, asap, atau kabut yang tebal.",0
gemma-4-31b,1,Keluk,"Keluk berarti lekukan, belokan, atau liukan (biasanya merujuk pada bentuk jalan atau sungai).",0
gemma-4-31b,1,Kepethuk,Kepethuk berarti bertemu atau berpapasan secara tidak sengaja.,1
gemma-4-31b,1,Keplongor,"Keplongor artinya merasa bingung, tertegun, atau termangu-mangu karena heran atau tidak tahu harus berbuat apa.",0
gemma-4-31b,1,Kiwa,"Kata ""kiwa"" (bentuk tidak baku dari *kiwa* atau *kiwa-tengen*) dalam bahasa Jawa berarti **kiri**.",1
gemma-4-31b,1,Koen,"**Koen** berarti **kamu** (bahasa Jawa dialek Jawa Timuran/Suroboyoan, bersifat informal).",1
gemma-4-31b,1,Kowe,"*Kowe* berarti ""kamu"" (digunakan dalam tingkatan bahasa Jawa Ngoko/informal).",1
gemma-4-31b,1,Kula,"Kula berarti ""saya"" dalam tingkatan bahasa Jawa halus (Krama).",1
gemma-4-31b,1,Kulon,Kulon artinya barat.,1
gemma-4-31b,1,Kupat,Kupat adalah makanan khas berupa ketupat (nasi yang dimasak dalam anyaman janur).,1
gemma-4-31b,1,Lanang,Lanang artinya laki-laki.,1
gemma-4-31b,1,lhais,"Kata ""lhais"" tidak ditemukan dalam kosakata bahasa Jawa standar; kemungkinan Anda maksud adalah **""lha""** yang berarti ""nah"" atau ""lalu"".",0
gemma-4-31b,1,Likur,Likur berarti angka dua puluh.,1
gemma-4-31b,1,Londo ireng,*Londo ireng* berarti orang kulit hitam (biasanya merujuk pada orang Afrika).,0
gemma-4-31b,1,Luwes,"Luwes berarti pantas, tidak kaku, atau fleksibel dalam bersikap dan bergerak.",1
gemma-4-31b,1,Mbanyol,Mbanyol artinya melucu atau suka bercanda.,1
gemma-4-31b,1,Mbeling,"**Mbeling** berarti nakal, bandel, atau tidak bisa diam (biasanya merujuk pada perilaku anak-anak).",1
gemma-4-31b,1,mbesengut,Mbesengut artinya cemberut atau menunjukkan wajah tidak senang.,1
gemma-4-31b,1,Mbok,"**Mbok** berarti ""ibu"" (panggilan untuk ibu atau wanita yang lebih tua) atau kata seru yang berarti ""coba"" atau ""mungkin"".",1
gemma-4-31b,1,Mboten,Mboten artinya tidak.,1
gemma-4-31b,1,Meh,"**Meh** berarti ""hampir"" atau ""nyaris"".",1
gemma-4-31b,1,Mekaten,"Mekaten artinya ""demikian"" atau ""begitu"".",1
gemma-4-31b,1,Mendoan,Mendoan adalah tempe goreng tepung yang dimasak setengah matang sehingga teksturnya masih lembek.,1
gemma-4-31b,1,Meneh,**Meneh** berarti **lagi** dalam bahasa Indonesia.,1
gemma-4-31b,1,Menungso,Menungso berarti manusia.,1
gemma-4-31b,1,Mrene,Mrene artinya **ke sini**.,1
gemma-4-31b,1,Mripate,"Mripate berarti ""matanya"".",1
gemma-4-31b,1,Muwah-muwuh,"**Muwah-muwuh** berarti melakukan sesuatu dengan terburu-buru, serampangan, atau tidak teratur.",0
gemma-4-31b,1,Namung,"Namung artinya adalah ""hanya"" atau ""tetapi"".",1
gemma-4-31b,1,Nanging,**Nanging** artinya adalah **tetapi** atau **namun**.,1
gemma-4-31b,1,Ndrawasi,**Ndrawasi** berarti melakukan sesuatu dengan terburu-buru atau gegabah tanpa pertimbangan yang matang.,1
gemma-4-31b,1,Nduwur,Nduwur artinya adalah di atas.,1
gemma-4-31b,1,Nedha,*Nedha* berarti makan (dalam tingkatan bahasa Jawa *Krama Madya* atau *Krama Alus*).,1
gemma-4-31b,1,Ngarit,Ngarit artinya mencari atau memotong rumput (biasanya untuk pakan ternak).,1
gemma-4-31b,1,Ngebaki,**Ngebaki** artinya memenuhi atau membuat menjadi penuh.,1
gemma-4-31b,1,Ngecembeng,Ngecembeng berarti kondisi air yang tergenang atau memenuhi suatu wadah/tempat.,1
gemma-4-31b,1,Ngelih,Ngelih artinya lapar.,1
gemma-4-31b,1,nggapleki,"**Nggapleki** berarti menyebalkan, menjengkelkan, atau berperilaku yang memancing kekesalan orang lain.",1
gemma-4-31b,1,Nggawe,**Nggawe** berarti membuat atau mengerjakan.,1
gemma-4-31b,1,nggeh,"**Nggeh** berarti ""ya"" dalam bentuk halus/sopan.",1
gemma-4-31b,1,Nggoser,*Nggoser* artinya menggeser atau mendorong sesuatu agar berpindah tempat.,0
gemma-4-31b,1,Nggugah,Nggugah berarti membangunkan (orang tidur) atau membangkitkan (perasaan/semangat).,1
gemma-4-31b,1,Ngono,**Ngono** berarti **begitu** atau **seperti itu**.,1
gemma-4-31b,1,Niku,"Niku artinya adalah ""itu"" (dalam tingkatan bahasa Jawa halus/Krama).",1
gemma-4-31b,1,Ning,"**Ning** berarti ""di"" atau ""di dalam"" (kependekan dari kata *ing*).",0
gemma-4-31b,1,Ningali,Ningali berarti melihat (dalam tingkatan bahasa krama/halus).,1
gemma-4-31b,1,Njero,Njero berarti dalam atau bagian dalam.,1
gemma-4-31b,1,Nrimo,*Nrimo* berarti menerima dengan ikhlas atau pasrah terhadap keadaan.,1
gemma-4-31b,1,Nyambut,**Nyambut** berarti bekerja atau mencari nafkah.,1
gemma-4-31b,1,Nyandhak,"*Nyandhak* berarti memegang, meraih, atau mendapatkan.",1
gemma-4-31b,1,Og,"Kata ""og"" (atau ""oh"") dalam bahasa Jawa biasanya merupakan kata seru untuk menunjukkan rasa kaget, heran, atau sekadar penekanan dalam percakapan.",1
gemma-4-31b,1,Padha,"Kata ""padha"" dalam bahasa Indonesia berarti **sama** atau **serupa**.",1
gemma-4-31b,1,Pancen,**Pancen** berarti **memang** atau **benar**.,1
gemma-4-31b,1,Panggah,"**Panggah** berarti tetap, masih, atau tidak berubah.",1
gemma-4-31b,1,Panjenengan,"Panjenengan berarti ""Anda"" atau ""Kamu"" dalam bentuk halus/sopan.",1
gemma-4-31b,1,Pedhot,Pedhot artinya putus.,1
gemma-4-31b,1,Pewe,"**Pewe** adalah singkatan dari *posisi enak*, yang berarti merasa nyaman atau santai dalam suatu posisi atau situasi.",1
gemma-4-31b,1,Pindho,Pindho berarti kedua atau kedua kalinya.,1
gemma-4-31b,1,Pirantos,Pirantos berarti alat atau perangkat.,1
gemma-4-31b,1,Pitakon,Pitakon artinya adalah pertanyaan.,1
gemma-4-31b,1,Piyambak,Piyambak artinya sendiri.,1
gemma-4-31b,1,Purun,**Purun** berarti mau atau bersedia.,1
gemma-4-31b,1,Reksa,"Reksa berarti menjaga, memelihara, atau merawat.",1
gemma-4-31b,1,Rene,**Rene** berarti **ke sini**.,1
gemma-4-31b,1,Riyoyo,Riyoyo berarti hari raya atau perayaan besar (biasanya merujuk pada Idul Fitri).,1
gemma-4-31b,1,Rontek,"Rontek berarti rontok atau gugur (biasanya digunakan untuk daun, rambut, atau bunga).",0
gemma-4-31b,1,Sae,Sae artinya bagus atau baik.,1
gemma-4-31b,1,Saged,**Saged** berarti **bisa** atau **dapat** (dalam tingkatan bahasa halus/Krama).,1
gemma-4-31b,1,Sagedipun,"**Sagedipun** berarti ""sebisa mungkin"" atau ""semampunya"".",1
gemma-4-31b,1,Sampun,**Sampun** berarti **sudah** (dalam tingkatan bahasa halus/Krama).,1
gemma-4-31b,1,Sanadyan,**Sanadyan** artinya adalah **meskipun** atau **walaupun**.,1
gemma-4-31b,1,Seje,**Seje** berarti **berbeda** atau **lain**.,1
gemma-4-31b,1,Senep,"**Senep** berarti perasaan sedih, terharu, atau pilu yang mendalam.",0
gemma-4-31b,1,Sewelas,Sewelas artinya sebelas.,1
gemma-4-31b,1,Sitok,Sitok berarti satu.,1
gemma-4-31b,1,Songo,Songo berarti sembilan.,1
gemma-4-31b,1,sopo,"""Sopo"" dalam bahasa Indonesia berarti ""siapa"".",1
gemma-4-31b,1,Stel kendo,"""Stel kendo"" berarti mengatur atau membuat suasana menjadi lebih santai/rileks.",1
gemma-4-31b,1,Sugeng,**Sugeng** berarti selamat atau sejahtera.,1
gemma-4-31b,1,Sumelang,"Sumelang berarti merasa khawatir, cemas, atau waswas.",1
gemma-4-31b,1,Sundel,Sundel berarti pelacur atau wanita tuna susila.,1
gemma-4-31b,1,Surup,Surup berarti waktu menjelang matahari terbenam atau senja.,1
gemma-4-31b,1,Syawalan,Syawalan adalah tradisi berkunjung ke rumah keluarga atau kerabat untuk bersilaturahmi setelah hari raya Idul Fitri.,1
gemma-4-31b,1,Tali goci,Tali goci adalah tali pengikat atau tali penarik yang digunakan untuk mengendalikan hewan ternak (seperti sapi atau kerbau).,0
gemma-4-31b,1,Tengen,Tengen berarti kanan.,1
gemma-4-31b,1,Tiwas,**Tiwas** berarti sudah terlanjur atau sialnya (digunakan untuk menyatakan penyesalan atas sesuatu yang sudah terjadi).,1
gemma-4-31b,1,Tresna,Tresna berarti cinta atau kasih sayang.,1
gemma-4-31b,1,Tumbas,Tumbas berarti membeli (digunakan dalam ragam bahasa halus/krama).,1
gemma-4-31b,1,Tur,"Kata ""tur"" dalam bahasa Jawa berarti **tidur**.",0
gemma-4-31b,1,Unjung-unjung,Unjung-unjung berarti saling mengunjungi atau bersilaturahmi (biasanya dilakukan saat hari raya).,1
gemma-4-31b,1,Urug,Urug berarti kegiatan mengurug atau mengisi lubang/tanah rendah dengan tanah atau material lain agar menjadi rata.,1
gemma-4-31b,1,Wadon,Wadon berarti perempuan.,1
gemma-4-31b,1,Wedhi,Wedhi berarti pasir.,1
gemma-4-31b,1,Wo,"Kata ""Wo"" tidak memiliki arti dalam bahasa Jawa; kemungkinan Anda salah mengetik atau maksudnya adalah kata lain.",0
gemma-4-31b,1,Yen,"""Yen"" dalam bahasa Indonesia berarti ""jika"" atau ""kalau"".",1
gemma-4-31b,2,akeh,Akeh artinya banyak.,1
gemma-4-31b,2,Anggitan,"Anggitan berarti karangan, ciptaan, atau hasil rekaan.",1
gemma-4-31b,2,bajigur,"Bajigur adalah minuman tradisional khas Jawa Barat yang terbuat dari santan, gula aren, dan jahe.",1
gemma-4-31b,2,Balung,Balung berarti tulang.,1
gemma-4-31b,2,bantet,Bantet berarti pendek dan gemuk (untuk orang) atau tidak mengembang (untuk kue).,1
gemma-4-31b,2,Bedat,**Bedat** berarti kain panjang yang digunakan untuk mengikat atau membungkus sesuatu.,0
gemma-4-31b,2,Bisane,"**Bisane** berarti ""bisanya"" atau ""hanya bisa"".",1
gemma-4-31b,2,Blumbang,Blumbang berarti kolam kecil atau kubangan air.,1
gemma-4-31b,2,Bolo,"**Bolo** berarti teman, kawan, atau sahabat.",1
gemma-4-31b,2,Bondho,Bondho berarti modal atau harta benda.,1
gemma-4-31b,2,Bongko,Bongko berarti bangkai (biasanya digunakan untuk hewan).,0
gemma-4-31b,2,Briwut,"**Briwut** berarti berantakan, tidak rapi, atau semrawut.",0
gemma-4-31b,2,Carane,**Carane** berarti **caranya**.,1
gemma-4-31b,2,Celuk,**Celuk** berarti panggil atau memanggil.,1
gemma-4-31b,2,Cempe,Cempe berarti anak kambing.,1
gemma-4-31b,2,Cetho,Cetho berarti jelas atau nyata.,1
gemma-4-31b,2,Cilik,Cilik artinya kecil.,1
gemma-4-31b,2,Crigis,**Crigis** berarti banyak bicara atau cerewet.,1
gemma-4-31b,2,Dalem,"**Dalem** berarti ""saya"" (digunakan untuk menjawab panggilan secara sopan) atau bisa berarti ""rumah/dalam"".",1
gemma-4-31b,2,Dateng,Dateng berarti datang.,1
gemma-4-31b,2,Dong opo ora,"Artinya adalah ""Benar atau tidak"" atau ""Betul atau tidak"".",0
gemma-4-31b,2,Dudu,**Dudu** berarti **bukan**.,1
gemma-4-31b,2,Embuh,"**Embuh** berarti ""tidak tahu"" atau ""entahlah"".",1
gemma-4-31b,2,Endog,Endog berarti telur.,1
gemma-4-31b,2,Entek,**Entek** berarti habis.,1
gemma-4-31b,2,Gangsal,Gangsal berarti lima (dalam tingkatan bahasa Jawa Krama/halus).,1
gemma-4-31b,2,Geger,"**Geger** berarti heboh, gempar, atau bagian punggung.",1
gemma-4-31b,2,Gentho,**Gentho** berarti merasa jijik atau muak.,0
gemma-4-31b,2,Graji,Graji berarti gergaji.,1
gemma-4-31b,2,Iki,**Iki** berarti **ini**.,1
gemma-4-31b,2,Inggil,**Inggil** berarti tinggi (digunakan dalam tingkatan bahasa halus/Krama Inggil).,1
gemma-4-31b,2,Isuk,Isuk berarti pagi.,1
gemma-4-31b,2,Jalaran,**Jalaran** berarti karena atau disebabkan oleh.,1
gemma-4-31b,2,Janganan,Janganan adalah istilah untuk sayur-sayuran atau masakan sayur.,1
gemma-4-31b,2,Jeblos,**Jeblos** berarti masuk ke dalam lubang atau terperosok (sering digunakan untuk konteks masuk penjara).,1
gemma-4-31b,2,Jeglongan,Jeglongan adalah istilah untuk tempat atau area yang posisinya lebih rendah (cekung) dibandingkan area di sekitarnya.,1
gemma-4-31b,2,Kae,**Kae** berarti **itu** (digunakan untuk menunjuk benda yang letaknya jauh).,1
gemma-4-31b,2,Kajeng,"Kajeng berarti keinginan, kemauan, atau maksud.",1
gemma-4-31b,2,Kawulo,"Kawulo berarti hamba, abdi, atau rakyat jelata.",1
gemma-4-31b,2,Kaya dene,**Kaya dene** berarti **seperti** atau **ibarat**.,1
gemma-4-31b,2,Kebluk,**Kebluk** berarti terperosok atau masuk ke dalam lubang.,0
gemma-4-31b,2,Keluk,"Keluk berarti lekukan, belokan, atau tikungan (biasanya pada jalan atau sungai).",0
gemma-4-31b,2,Kepethuk,Kepethuk berarti bertemu atau berpapasan secara tidak sengaja.,1
gemma-4-31b,2,Keplongor,"Keplongor berarti lugu, polos, atau tampak bingung sehingga mudah dibohongi.",0
gemma-4-31b,2,Kiwa,"Kata ""kiwa"" (bentuk tidak baku dari *kiwa*) dalam bahasa Jawa berarti **kiri**.",1
